※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/1/9,13:00,3425,0,2768,338,,113,75,0,78,0,-59,113
2023/1/9,14:00,3413,0,2820,358,,113,66,0,78,0,0,-22
2023/1/9,15:00,3395,0,3085,383,,112,32,0,79,0,0,-296
2023/1/9,16:00,3483,0,3210,434,,113,12,0,65,0,52,-402
2023/1/9,17:00,3595,0,3254,709,,113,0,0,66,0,99,-648
2023/1/9,18:00,3585,0,3322,857,,114,0,0,50,0,99,-857
2023/1/9,19:00,3499,0,3343,733,,114,0,0,58,0,73,-822
2023/1/9,20:00,3402,0,3316,553,,115,0,0,84,0,0,-666
2023/1/9,21:00,3295,0,3269,463,,114,0,0,101,0,0,-651
2023/1/9,22:00,3222,0,3119,418,,114,0,0,109,0,0,-538
2023/1/9,23:00,3245,0,2846,440,,114,0,0,118,0,0,-273
2023/1/10,0:00,3252,0,2752,436,,114,0,0,122,0,0,-172
2023/1/10,1:00,3390,0,2863,434,,114,0,0,122,0,0,-142
2023/1/10,2:00,3611,0,2855,522,,114,0,0,117,0,0,4
2023/1/10,3:00,3746,0,2904,573,,114,0,0,112,0,0,42
2023/1/10,4:00,3769,0,3009,479,,114,0,0,107,0,0,60
2023/1/10,5:00,3724,0,3095,438,,114,0,0,101,0,0,-24
2023/1/10,6:00,3803,0,3221,545,,114,0,0,102,0,3,-181
2023/1/10,7:00,3918,0,3282,576,,113,5,0,105,0,98,-262
2023/1/10,8:00,4314,0,3413,666,,113,38,0,98,0,0,-14
2023/1/10,9:00,4568,0,3389,703,,113,126,0,94,0,0,143
2023/1/10,10:00,4521,0,3119,551,,113,201,0,91,0,0,447
2023/1/10,11:00,4462,0,2920,590,,113,240,0,78,0,0,521
2023/1/10,12:00,4236,0,2779,502,,113,235,0,74,0,0,533
2023/1/10,13:00,4362,0,2959,575,,114,202,0,60,0,0,453
2023/1/10,14:00,4311,0,3045,602,,113,182,0,53,0,0,317
2023/1/10,15:00,4273,0,3322,777,,113,78,0,43,0,0,-61
2023/1/10,16:00,4354,0,3308,939,,114,15,0,24,0,3,-48
2023/1/10,17:00,4351,0,3288,1072,,114,0,0,23,0,99,-246
